/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:133:103: error: value of attribute "title" is invalid; must be equal to "Introduction"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:134:117: error: text not allowed here; expected element "section" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:134:124: error: element "h:br" not allowed here; expected element "section" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:135:19: error: element "implements" not allowed here; expected element "section" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:140:15: error: element "section" incomplete; expected element "section" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:142:21: error: element "sec:Introduction" missing required attribute "title"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:143:19: error: element "sec:Overview" not allowed here; expected text, element "CClaimsInfo", "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:151:17: error: element "tech-terms" not allowed here; expected text, element "CClaimsInfo", "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:303:42: error: element "sec:Compliant_Targets_of_Evaluation" not allowed here; expected text, element "CClaimsInfo", "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:328:20: error: element "sec:Use_Cases" not allowed here; expected text, element "CClaimsInfo", "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:377:22: error: element "sec:Introduction" incomplete; missing required element "CClaimsInfo"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:382:46: error: attribute "boilerplate" not allowed here; expected attribute "title"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:386:74: error: element "CClaimsInfo" not allowed here; expected the element end-tag, text, element "_", "assignable", "choice", "comment", "ctr", "depends", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
