/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:5:260: error: element "Module" not allowed anywhere; expected element "PP"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:8:18: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:13:17: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:35:21: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:42:17: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:49:17: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:50:20: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:268:22: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:289:28: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:417:37: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:450:29: error: element "PPVersion" not allowed yet; missing required element "PPTitle"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:451:60: error: attribute "title" not allowed here; expected attribute "boilerplate"
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:453:111: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:457:13: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:458:65: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:548:106: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:552:13: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:553:55: error: element "base-pp" not allowed anywhere; expected text, element "_", "assignable", "choice", "comment", "ctr", "depends", "description", "endnote", "equation", "external-doc", "figure", "if-opt-app", "implements", "no-link", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:558:143: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:559:247: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:560:636: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
/home/runner/work/operatingsystem/operatingsystem/input/operatingsystem.xml:563:19: error: element "base-sfr-spec" not allowed anywhere; expected text, element "_", "a-component", "assignable", "audit-table", "choice", "class-description", "comment", "ctr", "depends", "endnote", "equation", "ext-comp-class", "ext-comp-def", "external-doc", "f-component", "figure", "if-opt-app", "implements", "no-link", "package-usage-list", "provides", "refinement", "requires", "rule", "section", "selectables", "snip", "testlist", "usecases" or "xref" or an element from another namespace
